id,symbol,date,open,low,high,close,volume,rsi
1063174,TSLA,2024-05-17 07:30:00,177.81,177.52,179.46,179.26,13517859,71.85271074825533
1063176,TSLA,2024-05-17 06:30:00,175.79,175.22,178.46,177.85,18221190,67.06444707932889
1063178,TSLA,2024-05-17 05:30:00,173.55,172.75,175.9,175.79,15063275,57.559114270232406
1063180,TSLA,2024-05-16 11:30:00,174.95,174.57,175.21,174.57,4311263,49.78299535027192
1063182,TSLA,2024-05-16 10:30:00,174.39,174.32,175.22,174.95,4287340,52.470586701681746
1063184,TSLA,2024-05-16 09:30:00,174.28,173.96,174.58,174.4,4447335,48.880684553171236
1063186,TSLA,2024-05-16 08:30:00,175.31,174.11,175.38,174.27,5140734,48.07737676651241
1063188,TSLA,2024-05-16 07:30:00,174.37,173.88,175.42,175.32,7115675,54.535393479438525
1063190,TSLA,2024-05-16 06:30:00,174.23,174.23,175.79,174.36,12112769,48.86212885301169
1063192,TSLA,2024-05-16 05:30:00,174.1,171.43,174.28,174.21,17222034,47.96860702229075
1063194,TSLA,2024-05-15 11:30:00,174.63,173.76,174.78,174.05,6184615,47.040680235841194
1063196,TSLA,2024-05-15 10:30:00,174.74,174.56,175.07,174.64,4472408,49.899340091646536
1063198,TSLA,2024-05-15 09:30:00,175.3,174.4,175.6,174.73,5689004,50.3227710330143
1063200,TSLA,2024-05-15 08:30:00,174.91,174.85,175.48,175.31,6061255,52.95087505428163
1063202,TSLA,2024-05-15 07:30:00,174.86,174.15,175.43,174.9,7986815,51.348313540458726
1063204,TSLA,2024-05-15 06:30:00,173.28,173.11,175.12,174.84,12987773,51.129385002854264
1063206,TSLA,2024-05-15 05:30:00,179.9,173.2,180.0,173.21,29433817,45.07602704803463
1063208,TSLA,2024-05-14 11:30:00,177.59,177.25,178.0,177.36,5596555,62.93848359979932
1063210,TSLA,2024-05-14 10:30:00,176.58,176.35,177.82,177.6,6955972,64.26394969464423
1063213,TSLA,2024-05-14 09:30:00,176.23,175.92,176.99,176.59,7387110,61.174440458585174
1063215,TSLA,2024-05-14 08:30:00,177.03,175.76,177.67,176.25,8365871,60.11998967034249
1063217,TSLA,2024-05-14 07:30:00,178.92,176.83,179.04,177.02,9858291,63.616866579946574
1063219,TSLA,2024-05-14 06:30:00,176.11,175.11,179.49,178.93,18137194,73.11034664214682
1063221,TSLA,2024-05-14 05:30:00,174.5,174.07,177.86,176.11,25179536,66.45912907117793
1063223,TSLA,2024-05-13 11:30:00,171.87,171.63,172.2,171.97,3945446,50.16984997423188
1063225,TSLA,2024-05-13 10:30:00,172.1,171.73,172.4,171.87,4964402,49.64473286412781
1063227,TSLA,2024-05-13 09:30:00,171.58,170.91,172.17,172.11,4946334,50.81546264240715
1063229,TSLA,2024-05-13 08:30:00,171.89,170.83,172.06,171.59,6163029,48.44468087989481
1063231,TSLA,2024-05-13 07:30:00,172.43,171.46,173.07,171.87,8172151,49.60338212423997
1063233,TSLA,2024-05-13 06:30:00,174.49,172.35,174.73,172.45,11006997,51.91842676325965
1063235,TSLA,2024-05-13 05:30:00,170.0,169.0,175.4,174.49,23906413,60.9127071838894
1063237,TSLA,2024-05-10 11:30:00,169.16,167.85,169.31,168.0,5175510,22.414038544532787
1063239,TSLA,2024-05-10 10:30:00,168.55,168.32,169.2,169.15,4962389,26.608861646055374
1063241,TSLA,2024-05-10 09:30:00,168.64,167.78,169.05,168.56,5908660,19.640564410365087
1063243,TSLA,2024-05-10 08:30:00,168.42,168.21,169.08,168.62,5605134,19.811827991618884
1063245,TSLA,2024-05-10 07:30:00,169.16,167.75,169.26,168.42,10145065,17.661462717900022
1063247,TSLA,2024-05-10 06:30:00,169.23,167.86,169.61,169.15,15377493,19.374005744486524
1063249,TSLA,2024-05-10 05:30:00,173.05,169.11,173.06,169.23,21487411,19.554556527771226
1063251,TSLA,2024-05-09 11:30:00,171.77,171.37,172.25,172.0,6126841,27.925382166576156
1063253,TSLA,2024-05-09 10:30:00,172.31,171.54,172.43,171.78,7035516,25.652329616814967
1063255,TSLA,2024-05-09 09:30:00,173.15,172.08,173.15,172.32,5910345,27.582878592337337
1063257,TSLA,2024-05-09 08:30:00,173.05,172.54,173.45,173.16,5966185,30.808886498816634
1063259,TSLA,2024-05-09 07:30:00,172.52,172.01,173.38,173.05,9410871,29.87776382334212
1063261,TSLA,2024-05-09 06:30:00,173.52,172.26,174.65,172.5,11755019,25.122881772539728
1063263,TSLA,2024-05-09 05:30:00,175.01,173.15,175.62,173.53,15789390,28.35275720462718
1063265,TSLA,2024-05-08 11:30:00,174.72,174.21,175.0,174.25,5311194,30.819127681271127
1063267,TSLA,2024-05-08 10:30:00,174.94,174.05,174.97,174.73,4772443,32.52789758155723
1063269,TSLA,2024-05-08 09:30:00,174.45,174.27,175.08,174.91,5430469,33.1547311654373
1063271,TSLA,2024-05-08 08:30:00,174.29,173.87,174.94,174.47,6355269,30.213707855274052
